,^GSPC
1997-01-03,0.01484164941881509
1997-01-06,-0.0005081366032075736
1997-01-07,0.007435613433971238
1997-01-08,-0.006419679852333941
1997-01-09,0.008568101404922306
1997-01-10,0.006141300365015303
1997-01-13,1.3179328063465156e-05
1997-01-14,0.012235377899262665
1997-01-15,-0.0021613397827793404
1997-01-16,0.0033182473242353424
1997-01-17,0.008305759532583463
1997-01-20,0.0006826448049412723
1997-01-21,0.007720804487045008
1997-01-22,0.004474350018381982
1997-01-23,-0.011088537293479575
1997-01-24,-0.0090951714119835
1997-01-27,-0.007163634136078027
1997-01-28,0.0
1997-01-29,0.009730005965879973
1997-01-30,0.01499380301396969
1997-01-31,0.002534488107991344
1997-02-03,0.0007247898657657332
1997-02-04,0.0032107202279200325
1997-02-05,-0.0140094157412687
1997-02-06,0.0023998459349742055
1997-02-07,0.011989585001424038
1997-02-10,-0.005244495996344498
1997-02-11,0.00528252822433354
1997-02-12,0.016554413935318535
1997-02-13,0.011210378387313058
1997-02-14,-0.004122732347686972
1997-02-18,0.009613739680816438
1997-02-19,-0.004666062649961008
1997-02-20,-0.011997992699852418
1997-02-21,-0.001283793662448065
1997-02-24,0.010558095047922567
1997-02-25,0.0021574182684799
1997-02-26,-0.007850689121407897
1997-02-27,-0.013256461944521352
1997-02-28,-0.005359779221720753
1997-03-03,0.005661581602862136
1997-03-04,-0.005497202607812356
1997-03-05,0.013861356706138727
1997-03-06,-0.004286024120067983
1997-03-07,0.007994870584354344
1997-03-10,0.01072535486383785
1997-03-11,-0.0028430932396160445
1997-03-12,-0.008764622743737379
1997-03-13,-0.018446786946199948
1997-03-14,0.004561727718855447
1997-03-17,0.0031972725674696153
1997-03-18,-0.007632386403616276
1997-03-19,-0.00493828546696671
1997-03-20,-0.003978525070087459
1997-03-21,0.001850903572129809
1997-03-24,0.008622380042943974
1997-03-25,-0.002303866052212753
1997-03-26,0.0018106105583341945
1997-03-27,-0.021248827529718878
1997-03-31,-0.02189507421903289
1997-04-01,0.0033229012286633266
1997-04-02,-0.012624813215305487
1997-04-03,0.00027994904801038466
1997-04-04,0.010051691068615216
1997-04-07,0.005565668186074084
1997-04-08,0.005221657844197678
1997-04-09,-0.00723124566529686
1997-04-10,-0.002975694095150356
1997-04-11,-0.027662378839925485
1997-04-14,0.008208549020106147
1997-04-15,0.014668741236983385
1997-04-16,0.011605674270145213
1997-04-17,-0.0023077564943238668
1997-04-18,0.005981272042004251
1997-04-21,-0.007820820040727962
1997-04-22,0.01855450748072455
1997-04-23,-0.001252989930603198
1997-04-24,-0.0031848681922879733
1997-04-25,-0.007562429200959538
1997-04-28,0.009867958581018854
1997-04-29,0.026919086950791895
1997-04-30,0.009138943749608055
1997-05-01,-0.0035127858507293433
1997-05-02,0.017921598378717093
1997-05-05,0.021080838430922934
1997-05-06,-0.003051741797699654
1997-05-07,-0.014774714856905702
1997-05-08,0.005672820840037526
1997-05-09,0.0054953445494920075
1997-05-12,0.015495538541532872
1997-05-13,-0.005422559892360349
1997-05-14,0.003486734272059055
1997-05-15,0.006961059522659069
1997-05-16,-0.014513041470778384
1997-05-19,0.004233292139233315
1997-05-20,0.010018357570843552
1997-05-21,-0.0027483466286060926
1997-05-22,-0.004405954022574614
1997-05-23,0.013514348079924944
1997-05-27,0.003158992919941662
1997-05-28,-0.0029465169177085534
1997-05-29,-0.003701326660590704
1997-05-30,0.0049635074271129525
1997-06-02,-0.0022660208071454066
1997-06-03,-0.0010402933846622646
1997-06-04,-0.006371672107388571
1997-06-05,0.0039440840981850404
1997-06-06,0.017138863506763382
1997-06-09,0.005694601340086993
1997-06-10,0.0027312523739792005
1997-06-11,0.004957225487179693
1997-06-12,0.015847196114797
1997-06-13,0.011042867536632056
1997-06-16,0.0007050307395686728
1997-06-17,0.0005815049975577259
1997-06-18,-0.0060107223492612775
1997-06-19,0.009994199453799778
1997-06-20,0.0007903667395631097
1997-06-23,-0.02259679903471987
1997-06-24,0.019967346030936986
1997-06-25,-0.008233859371898345
1997-06-26,-0.005990978007072571
1997-06-27,0.004088132219228615
1997-06-30,-0.0024372889472259337
1997-07-01,0.00663228868087667
1997-07-02,0.01448444827177715
1997-07-03,0.014157630719942239
1997-07-07,-0.005160931149592495
1997-07-08,0.007154772867478499
1997-07-09,-0.012276432435649288
1997-07-10,0.006852256232177778
1997-07-11,0.0031685650277529453
1997-07-14,0.0018528142901342983
1997-07-15,0.00800377869507335
1997-07-16,0.011630616113066022
1997-07-17,-0.005331392000118897
1997-07-18,-0.017662389395394273
1997-07-21,-0.0025817033594947732
1997-07-22,0.022784840116899477
1997-07-23,0.002758581753143315
1997-07-24,0.003985374736334249
1997-07-25,-0.0016071716821663613
1997-07-28,-0.0024956454075087202
1997-07-29,0.00621691629521538
1997-07-30,0.010556527672285798
1997-07-31,0.002118976516259916
1997-08-01,-0.0075416307002952815
1997-08-04,0.003330778377057863
1997-08-05,0.002175898247748144
1997-08-06,0.00831296025928697
1997-08-07,-0.009552735027023394
1997-08-08,-0.018730046833824936
1997-08-11,0.0036994942204159327
1997-08-12,-0.01123682549278373
1997-08-13,-0.004879520267233842
1997-08-14,0.002978142587287486
1997-08-15,-0.02625072320877974
1997-08-18,0.012882759933403128
1997-08-19,0.014707928479540038
1997-08-20,0.014303076453072931
1997-08-21,-0.015340343813394426
1997-08-22,-0.0016336885186959106
